time, amp
237.653333,-46.941098
237.674667,-46.633494
237.696000,-46.980848
237.717333,-42.192758
237.738667,-47.645687
237.760000,-45.347355
237.781333,-47.764906
237.802667,-46.483413
237.824000,-45.249264
237.845333,-51.350510
237.866667,-49.090101
237.888000,-46.156596
237.909333,-49.703810
237.930667,-49.806060
237.952000,-47.352065
237.973333,-47.369616
237.994667,-47.682721
238.016000,-45.541460
238.037333,-48.013368
238.058667,-45.229156
238.080000,-47.720000
238.101333,-46.042881
238.122667,-45.361287
238.144000,-47.094956
238.165333,-48.540644
238.186667,-46.305188
238.208000,-48.346157
238.229333,-43.286136
238.250667,-48.043266
238.272000,-49.068831
238.293333,-50.070089
238.314667,-46.521627
238.336000,-50.616626
238.357333,-49.125542
238.378667,-49.859190
238.400000,-51.427558
238.421333,-47.279070
238.442667,-48.246174
238.464000,-49.007034
238.485333,-51.567922
238.506667,-52.125062
238.528000,-50.298695
238.549333,-49.368896
238.570667,-47.818652
238.592000,-47.790095
238.613333,-42.267000
238.634667,-49.280928
238.656000,-46.211669
238.677333,-49.470851
238.698667,-48.269300
238.720000,-50.375309
238.741333,-51.595825
238.762667,-48.874424
238.784000,-49.392594
238.805333,-46.205563
238.826667,-46.722318
238.848000,-46.014180
238.869333,-43.331129
238.890667,-47.215097
238.912000,-42.667716
238.933333,-47.982086
238.954667,-46.825872
238.976000,-47.667699
238.997333,-47.858942
239.018667,-44.587248
239.040000,-44.311764
239.061333,-45.901449
239.082667,-48.183466
239.104000,-49.596872
239.125333,-49.903642
239.146667,-48.801860
239.168000,-50.057715
239.189333,-47.807813
239.210667,-47.766091
239.232000,-45.211334
239.253333,-46.962688
239.274667,-49.075278
239.296000,-44.730052
239.317333,-45.414218
239.338667,-44.048370
239.360000,-44.867536
239.381333,-46.865254
239.402667,-44.297305
239.424000,-49.088581
239.445333,-45.299287
239.466667,-46.570715
239.488000,-48.281303
239.509333,-50.172837
239.530667,-43.511514
239.552000,-47.586437
239.573333,-49.214998
239.594667,-49.700603
239.616000,-49.682090
239.637333,-48.052713
239.658667,-46.567686
239.680000,-46.849249
239.701333,-47.403224
239.722667,-47.044757
239.744000,-48.122547
239.765333,-50.998251
239.786667,-48.399523
239.808000,-48.687139
239.829333,-49.961874
239.850667,-48.172453
239.872000,-48.280708
239.893333,-46.859189
239.914667,-46.533784
239.936000,-45.113584
239.957333,-45.901553
239.978667,-48.288046
240.000000,-45.700432
240.021333,-49.411134
240.042667,-48.547559
240.064000,-50.002728
240.085333,-50.918440
240.106667,-45.902511
240.128000,-45.202256
240.149333,-44.042276
240.170667,-47.455326
240.192000,-45.823892
240.213333,-47.068122
240.234667,-46.946682
240.256000,-42.718878
240.277333,-50.532277
240.298667,-45.758380
240.320000,-41.971367
240.341333,-45.791985
240.362667,-47.350495
240.384000,-46.180179
240.405333,-46.416951
240.426667,-44.725793
240.448000,-47.915869
240.469333,-49.622825
240.490667,-46.942609
240.512000,-47.222361
240.533333,-45.508056
240.554667,-50.256830
240.576000,-45.042731
240.597333,-50.730351
240.618667,-48.721907
240.640000,-44.236147
240.661333,-49.311929
240.682667,-47.610390
240.704000,-45.565158
240.725333,-48.406920
240.746667,-45.973022
240.768000,-47.111779
240.789333,-46.852066
240.810667,-47.630498
240.832000,-48.556938
240.853333,-49.366767
240.874667,-50.254385
240.896000,-49.348695
240.917333,-50.533425
240.938667,-46.635132
240.960000,-46.564131
240.981333,-50.233530
241.002667,-48.957383
241.024000,-49.205798
241.045333,-46.517565
241.066667,-47.157047
241.088000,-47.461100
241.109333,-47.191789
241.130667,-49.917088
241.152000,-50.448331
241.173333,-46.602750
241.194667,-51.537122
241.216000,-45.799071
241.237333,-45.838221
241.258667,-46.604859
241.280000,-44.120945
241.301333,-49.670586
241.322667,-47.150452
241.344000,-49.192599
241.365333,-45.889263
241.386667,-49.791670
241.408000,-47.526983
241.429333,-45.630679
241.450667,-48.247101
241.472000,-46.865816
241.493333,-45.833704
241.514667,-47.151592
241.536000,-45.406427
241.557333,-46.711047
241.578667,-48.809899
241.600000,-42.253004
241.621333,-48.971756
241.642667,-48.692629
241.664000,-47.194415
241.685333,-50.849637
241.706667,-44.304904
241.728000,-47.331037
241.749333,-48.535202
241.770667,-46.449330
241.792000,-46.743788
241.813333,-46.845249
241.834667,-46.760865
241.856000,-48.819329
241.877333,-48.180521
241.898667,-45.645480
241.920000,-45.490734
241.941333,-49.138649
241.962667,-47.647132
241.984000,-43.285466
242.005333,-48.308808
242.026667,-44.115406
242.048000,-43.717207
242.069333,-47.385022
242.090667,-44.015006
242.112000,-50.165688
242.133333,-45.854447
242.154667,-46.864867
242.176000,-47.910038
242.197333,-47.262963
242.218667,-45.470784
242.240000,-47.941166
242.261333,-50.531374
242.282667,-47.717911
242.304000,-50.798538
242.325333,-49.454711
242.346667,-45.047734
242.368000,-50.067452
242.389333,-44.893406
242.410667,-48.980058
242.432000,-50.176390
242.453333,-47.720612
242.474667,-49.172257
242.496000,-52.131411
242.517333,-47.484975
242.538667,-49.745719
242.560000,-46.026125
242.581333,-46.522677
242.602667,-47.587777
242.624000,-49.260970
242.645333,-46.562430
242.666667,-47.165911
242.688000,-48.223377
242.709333,-44.312299
242.730667,-49.015511
242.752000,-46.238664
242.773333,-48.253497
242.794667,-45.726781
